id,custom_date,master_development,sub_loc_1,sub_loc_2,sub_loc_3,sub_loc_4,total_sales_price_val,sales_price_sqft_unit,sales_price_sqm_unit,unit_size_sqft,unit_size_sqm,unit_type,no_beds,custom_view,maid,study,balcony,plot_size_sqft,plot_size_sqm,developer_type,floor_level,evdnc_name,comments,dev_name,unit_no,sale_sequence,data_source,months_since_start,month,year_month,annual_service_charge,is_park_facing,is_pool_adjacent,is_corner_unit,is_single_row,is_end_unit,is_near_amenities,is_road_facing,is_brand_new,is_motivated_seller,is_hot_deal,has_big_plot,has_mortgage_mention,is_upgraded,is_rented,unit_subtype,unit_position,has_maid_room,plot_to_unit_ratio,is_g_plus_2,is_resale,beds_numeric,park_label,corner_label,row_label
11011371,2025-10-01,Mudon,Al Ranim,Al Ranim 1,,,3550000,1601,17233,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Facing Pool and Park | Viewing Available,Dubai Properties,,,listing,7.8,2025-10,2025-10,6872.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
9115053,2025-09-29,Mudon,Al Ranim,Al Ranim 1,,,3275000,1477,15898,2217,206.0,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,7.7,2025-09,2025-09,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
9066318,2025-08-12,Mudon,Al Ranim,Al Ranim 1,,,3130000,1412,15194,2217,206.0,Townhouse,3.0,,,,,1894.0,175.96,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,6.1,2025-08,2025-08,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8543076229138475,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
11831693,2025-10-29,Mudon,Al Ranim,Al Ranim 1,,,4250000,1668,17949,2548,236.78,Townhouse,4.0,Community,,,,2975.0,276.43,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,8.7,2025-10,2025-10,7898.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,1.1675824175824177,0,1,4.0,Not Park Facing,Non-Corner,Non-Single Row
10931803,2025-09-28,Mudon,Al Ranim,Al Ranim 1,,,4300000,1687,18143,2549,237.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,"Corner unit - Spacious 4-Bed + Maid Townhouse | Prime Location in Al Ranim 1, Mudon",Dubai Properties,,,listing,7.7,2025-09,2025-09,7901.900000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Corner Unit,Non-Single Row
10909617,2025-08-25,Mudon,Al Ranim,Al Ranim 1,,,4450000,1563,16792,2848,265.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,End Unit | Park View | Ready Now,Dubai Properties,,,listing,6.6,2025-08,2025-08,8828.800000000001,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Park Facing,Non-Corner,Non-Single Row
12189508,2025-12-11,Mudon,Al Ranim,Al Ranim 1,,,3350000,1511,16262,2217,206.0,Townhouse,3.0,,,,,1852.0,172.02,,G+1,Active Listings,Prime Location | Spacious Layout | Best Price,Dubai Properties,,,listing,10.1,2025-12,2025-12,6872.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,unknown,0,0.8353631032927379,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10811419,2025-08-07,Mudon,Al Ranim,Al Ranim 1,,,3550000,1963,21131,1808,168.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Brand New I Spacious 3 BHK I Good Location,Dubai Properties,,,listing,6.0,2025-08,2025-08,5604.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10747427,2025-07-25,Mudon,Al Ranim,Al Ranim 1,,,3100000,1398,15049,2217,206.0,Townhouse,3.0,,,,,1872.0,173.93,,G+1,Active Listings,Motivated Seller| Single Row | Genuine Resale,Dubai Properties,,,listing,5.6,2025-07,2025-07,6872.7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,unknown,0,0.8443843031123139,0,0,3.0,Not Park Facing,Non-Corner,Single Row
10683002,2025-07-04,Mudon,Al Ranim,Al Ranim 1,,,3300000,1488,16019,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,Premium Locations | Multiple Units | Brand New,Dubai Properties,,,listing,4.9,2025-07,2025-07,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
