"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"12415461","2025-09-30","Mudon","Al Ranim","Al Ranim 1","","","3600000","0","0","0","0","Townhouse","3","","","","","1808","168","","G+1","Pending Sales (SPA/MOU)","","NULL","",""
"10887024","2025-09-04","Mudon","Al Ranim","Al Ranim 1","","","3200000","1774","19048","1804","168","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Genuine Listing | 3BR plus Maids | Mortgage","Dubai Properties","",""
"10830239","2025-12-16","Mudon","Al Ranim","Al Ranim 1","","","3750000","1471","15837","2549","236.78","Townhouse","4","","NULL","NULL","","2959","274.93","","G+1","Active Listings","Genuine Resale | Single Row | Prime Location","Dubai Properties","",""
"10766605","2025-07-31","Mudon","Al Ranim","Al Ranim 1","","","3750000","1460","15690","2568","239","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","3 Bed G+2  | Park Facing | Brand New","Dubai Properties","",""
"10697890","2025-07-11","Mudon","Al Ranim","Al Ranim 1","","","3100000","1656","17816","1872","174","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Call Now for Viewing |Mortgage Buyers are Welcome","Dubai Properties","",""
"10627691","2025-06-19","Mudon","Al Ranim","Al Ranim 1","","","3150000","1421","15291","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Handover Soon On Park Prime Location Genuine Seller","Dubai Properties","",""
"10345410","2025-05-25","Mudon","Al Ranim","Al Ranim 1","","","3000000","1353","14563","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Spacious | Single Row | Handover Q3 2025","Dubai Properties","",""
"10228074","2025-04-10","Mudon","Al Ranim","Al Ranim 1","","","3000000","1636","17647","1834","170","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Modern Unit I Prime Location I Motivated Seller","Dubai Properties","",""
"10128399","2025-02-27","Mudon","Al Ranim","Al Ranim 1","","","3000000","1353","14563","2217","206","Townhouse","3","Community,Road,Walkway","NULL","NULL","","1872","173.96","NULL","G+1","Active Listings","Single Row | Brand New ? | Close to Amenities","Dubai Properties","",""
"11029458","2026-01-03","Mudon","Al Ranim","Al Ranim 1","","","4285000","1681","18097","2549","236.78","Townhouse","4","Community","NULL","NULL","","2975","276.43","NULL","G+1","Active Listings","Corner Unit | Larger Plot | Single Row","Dubai Properties","",""
